location,sense,count,sentiment,coordinates_lat,coordinates_lng
Tunis Medina,auditory,2,positive,36.8008,10.1658
Tunis Medina,gustatory,1,positive,36.8008,10.1658
Tunis Medina,tactile,1,positive,36.8008,10.1658
Sidi Bou Said,visual,2,neutral,36.8686,10.3417
Sidi Bou Said,auditory,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Djerba,visual,1,neutral,33.8,10.9
Tozeur,visual,1,neutral,33.9197,8.1339
Djerba,visual,2,neutral,33.8,10.9
Djerba,tactile,2,neutral,33.8,10.9
Tunis Medina,gustatory,1,positive,36.8008,10.1658
Djerba,visual,1,positive,33.8,10.9
Djerba,olfactory,1,positive,33.8,10.9
Djerba,gustatory,1,positive,33.8,10.9
Djerba,tactile,1,positive,33.8,10.9
Tunis Medina,tactile,1,neutral,36.8008,10.1658
Tozeur,visual,2,neutral,33.9197,8.1339
Tozeur,auditory,1,neutral,33.9197,8.1339
Tozeur,tactile,2,neutral,33.9197,8.1339
Tozeur,auditory,1,positive,33.9197,8.1339
Tozeur,gustatory,1,positive,33.9197,8.1339
Tozeur,tactile,1,positive,33.9197,8.1339
Hammamet,visual,3,neutral,36.4,10.6
Hammamet,gustatory,1,neutral,36.4,10.6
Tozeur,tactile,1,neutral,33.9197,8.1339
Tunis Medina,olfactory,1,neutral,36.8008,10.1658
Tunis Medina,gustatory,1,neutral,36.8008,10.1658
Sidi Bou Said,gustatory,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Tunis Medina,tactile,1,neutral,36.8008,10.1658
Djerba,visual,1,positive,33.8,10.9
Djerba,tactile,1,positive,33.8,10.9
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,auditory,1,neutral,36.8686,10.3417
Djerba,visual,1,neutral,33.8,10.9
Djerba,visual,3,neutral,33.8,10.9
Djerba,tactile,2,neutral,33.8,10.9
Tunis Medina,visual,1,neutral,36.8008,10.1658
Tunis Medina,visual,1,neutral,36.8008,10.1658
Tozeur,tactile,1,neutral,33.9197,8.1339
Tozeur,visual,3,neutral,33.9197,8.1339
Djerba,visual,1,positive,33.8,10.9
Djerba,gustatory,3,positive,33.8,10.9
Djerba,tactile,1,positive,33.8,10.9
Djerba,visual,1,neutral,33.8,10.9
Djerba,auditory,1,neutral,33.8,10.9
Tozeur,olfactory,1,neutral,33.9197,8.1339
Hammamet,olfactory,1,neutral,36.4,10.6
Hammamet,gustatory,1,neutral,36.4,10.6
Djerba,auditory,1,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Hammamet,auditory,1,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Djerba,olfactory,1,neutral,33.8,10.9
Djerba,gustatory,1,neutral,33.8,10.9
Tunis Medina,visual,1,neutral,36.8008,10.1658
Tunis Medina,gustatory,1,neutral,36.8008,10.1658
Tunis Medina,tactile,1,neutral,36.8008,10.1658
Tunis Medina,tactile,1,positive,36.8008,10.1658
Sidi Bou Said,visual,3,neutral,36.8686,10.3417
Sidi Bou Said,auditory,1,neutral,36.8686,10.3417
Sidi Bou Said,auditory,1,neutral,36.8686,10.3417
Sidi Bou Said,gustatory,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,3,neutral,36.8686,10.3417
Tozeur,visual,2,neutral,33.9197,8.1339
Tozeur,auditory,2,neutral,33.9197,8.1339
Djerba,olfactory,1,neutral,33.8,10.9
Djerba,gustatory,1,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Djerba,gustatory,1,neutral,33.8,10.9
Hammamet,visual,6,positive,36.4,10.6
Hammamet,olfactory,2,positive,36.4,10.6
Hammamet,gustatory,1,positive,36.4,10.6
Hammamet,tactile,3,positive,36.4,10.6
Tozeur,visual,1,neutral,33.9197,8.1339
Tozeur,tactile,1,neutral,33.9197,8.1339
Tunis Medina,visual,1,positive,36.8008,10.1658
Tunis Medina,auditory,2,positive,36.8008,10.1658
Tunis Medina,tactile,1,positive,36.8008,10.1658
Djerba,visual,1,positive,33.8,10.9
Djerba,gustatory,2,positive,33.8,10.9
Djerba,tactile,1,positive,33.8,10.9
Djerba,tactile,1,positive,33.8,10.9
Tozeur,visual,1,neutral,33.9197,8.1339
Hammamet,gustatory,1,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Tunis Medina,visual,2,neutral,36.8008,10.1658
Tunis Medina,gustatory,1,neutral,36.8008,10.1658
Tunis Medina,tactile,2,neutral,36.8008,10.1658
Djerba,olfactory,1,positive,33.8,10.9
Hammamet,visual,1,positive,36.4,10.6
Hammamet,visual,1,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Hammamet,visual,2,neutral,36.4,10.6
Hammamet,tactile,2,neutral,36.4,10.6
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Tunis Medina,visual,1,neutral,36.8008,10.1658
Tunis Medina,gustatory,4,neutral,36.8008,10.1658
Djerba,visual,1,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Djerba,visual,3,positive,33.8,10.9
Djerba,auditory,1,positive,33.8,10.9
Djerba,gustatory,1,positive,33.8,10.9
Djerba,tactile,3,positive,33.8,10.9
Tozeur,olfactory,1,neutral,33.9197,8.1339
Sidi Bou Said,visual,4,neutral,36.8686,10.3417
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Hammamet,olfactory,1,neutral,36.4,10.6
Hammamet,gustatory,2,neutral,36.4,10.6
Hammamet,tactile,4,neutral,36.4,10.6
Tunis Medina,gustatory,3,positive,36.8008,10.1658
Djerba,visual,1,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Sidi Bou Said,visual,3,neutral,36.8686,10.3417
Sidi Bou Said,auditory,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,2,neutral,36.8686,10.3417
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,olfactory,1,neutral,36.8686,10.3417
Djerba,visual,1,neutral,33.8,10.9
Djerba,gustatory,1,neutral,33.8,10.9
Djerba,tactile,2,neutral,33.8,10.9
Sidi Bou Said,gustatory,1,neutral,36.8686,10.3417
Tozeur,visual,1,neutral,33.9197,8.1339
Tozeur,olfactory,1,neutral,33.9197,8.1339
Tozeur,gustatory,1,neutral,33.9197,8.1339
Tozeur,tactile,1,neutral,33.9197,8.1339
Djerba,olfactory,1,neutral,33.8,10.9
Tozeur,gustatory,1,neutral,33.9197,8.1339
Hammamet,auditory,1,neutral,36.4,10.6
Hammamet,tactile,2,neutral,36.4,10.6
Sidi Bou Said,gustatory,1,neutral,36.8686,10.3417
Hammamet,visual,4,neutral,36.4,10.6
Hammamet,auditory,5,neutral,36.4,10.6
Hammamet,visual,1,positive,36.4,10.6
Hammamet,visual,1,neutral,36.4,10.6
Djerba,visual,1,neutral,33.8,10.9
Hammamet,visual,2,positive,36.4,10.6
Hammamet,tactile,2,positive,36.4,10.6
Tunis Medina,visual,2,positive,36.8008,10.1658
Tunis Medina,auditory,1,positive,36.8008,10.1658
Tunis Medina,tactile,2,positive,36.8008,10.1658
Tunis Medina,visual,2,positive,36.8008,10.1658
Tunis Medina,olfactory,1,positive,36.8008,10.1658
Tunis Medina,gustatory,1,positive,36.8008,10.1658
Djerba,olfactory,1,neutral,33.8,10.9
Tozeur,visual,1,neutral,33.9197,8.1339
Tozeur,gustatory,1,neutral,33.9197,8.1339
Tozeur,tactile,1,neutral,33.9197,8.1339
Tunis Medina,olfactory,1,neutral,36.8008,10.1658
Tunis Medina,tactile,1,neutral,36.8008,10.1658
Djerba,gustatory,1,positive,33.8,10.9
Hammamet,tactile,1,neutral,36.4,10.6
Hammamet,auditory,1,neutral,36.4,10.6
Hammamet,gustatory,1,neutral,36.4,10.6
Hammamet,tactile,2,neutral,36.4,10.6
Tozeur,visual,1,neutral,33.9197,8.1339
Tozeur,auditory,4,neutral,33.9197,8.1339
Tozeur,tactile,2,neutral,33.9197,8.1339
Djerba,auditory,1,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Hammamet,visual,1,positive,36.4,10.6
Hammamet,olfactory,1,positive,36.4,10.6
Hammamet,gustatory,1,positive,36.4,10.6
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Tozeur,visual,1,negative,33.9197,8.1339
Tozeur,gustatory,1,negative,33.9197,8.1339
Tozeur,olfactory,1,neutral,33.9197,8.1339
Tunis Medina,visual,1,positive,36.8008,10.1658
Tunis Medina,gustatory,1,positive,36.8008,10.1658
Tunis Medina,tactile,1,positive,36.8008,10.1658
Hammamet,visual,1,neutral,36.4,10.6
Hammamet,auditory,1,neutral,36.4,10.6
Hammamet,gustatory,3,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Hammamet,visual,3,positive,36.4,10.6
Hammamet,tactile,1,positive,36.4,10.6
Sidi Bou Said,gustatory,1,positive,36.8686,10.3417
Hammamet,auditory,3,neutral,36.4,10.6
Hammamet,gustatory,1,neutral,36.4,10.6
Tozeur,visual,1,neutral,33.9197,8.1339
Tozeur,gustatory,1,neutral,33.9197,8.1339
Sidi Bou Said,visual,1,positive,36.8686,10.3417
Sidi Bou Said,auditory,1,positive,36.8686,10.3417
Sidi Bou Said,olfactory,2,positive,36.8686,10.3417
Sidi Bou Said,gustatory,3,positive,36.8686,10.3417
Sidi Bou Said,tactile,2,positive,36.8686,10.3417
Djerba,tactile,1,neutral,33.8,10.9
Djerba,visual,2,neutral,33.8,10.9
Tunis Medina,visual,2,positive,36.8008,10.1658
Tunis Medina,gustatory,1,positive,36.8008,10.1658
Sidi Bou Said,visual,2,positive,36.8686,10.3417
Sidi Bou Said,tactile,1,positive,36.8686,10.3417
Tozeur,tactile,2,positive,33.9197,8.1339
Tunis Medina,visual,2,positive,36.8008,10.1658
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,olfactory,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Sidi Bou Said,visual,1,positive,36.8686,10.3417
Sidi Bou Said,auditory,2,positive,36.8686,10.3417
Sidi Bou Said,tactile,1,positive,36.8686,10.3417
Tozeur,gustatory,1,positive,33.9197,8.1339
Hammamet,visual,5,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Djerba,auditory,1,neutral,33.8,10.9
Djerba,olfactory,1,neutral,33.8,10.9
Djerba,gustatory,1,neutral,33.8,10.9
Tunis Medina,olfactory,1,neutral,36.8008,10.1658
Hammamet,visual,1,positive,36.4,10.6
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Sidi Bou Said,gustatory,2,neutral,36.8686,10.3417
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Tozeur,tactile,2,neutral,33.9197,8.1339
Hammamet,visual,2,neutral,36.4,10.6
Hammamet,gustatory,1,neutral,36.4,10.6
Hammamet,tactile,2,neutral,36.4,10.6
Hammamet,olfactory,1,neutral,36.4,10.6
Hammamet,gustatory,1,neutral,36.4,10.6
Sidi Bou Said,visual,3,neutral,36.8686,10.3417
Sidi Bou Said,gustatory,1,neutral,36.8686,10.3417
Sidi Bou Said,visual,4,neutral,36.8686,10.3417
Sidi Bou Said,auditory,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,2,neutral,36.8686,10.3417
Hammamet,visual,2,positive,36.4,10.6
Hammamet,olfactory,4,positive,36.4,10.6
Hammamet,tactile,3,positive,36.4,10.6
Tunis Medina,auditory,1,neutral,36.8008,10.1658
Tunis Medina,gustatory,2,neutral,36.8008,10.1658
Djerba,visual,1,neutral,33.8,10.9
Djerba,gustatory,1,neutral,33.8,10.9
Djerba,tactile,2,neutral,33.8,10.9
Hammamet,visual,3,positive,36.4,10.6
Hammamet,gustatory,1,positive,36.4,10.6
Hammamet,tactile,1,positive,36.4,10.6
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,olfactory,1,neutral,36.8686,10.3417
Tozeur,visual,1,positive,33.9197,8.1339
Tozeur,auditory,1,positive,33.9197,8.1339
Tozeur,tactile,1,positive,33.9197,8.1339
Tunis Medina,olfactory,1,neutral,36.8008,10.1658
Djerba,olfactory,1,neutral,33.8,10.9
Tunis Medina,visual,1,negative,36.8008,10.1658
Tunis Medina,olfactory,1,negative,36.8008,10.1658
Djerba,visual,2,neutral,33.8,10.9
Djerba,gustatory,1,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Tunis Medina,visual,1,positive,36.8008,10.1658
Tunis Medina,gustatory,1,positive,36.8008,10.1658
Tozeur,olfactory,1,neutral,33.9197,8.1339
Tozeur,gustatory,1,neutral,33.9197,8.1339
Djerba,auditory,2,positive,33.8,10.9
Tozeur,auditory,1,neutral,33.9197,8.1339
Tunis Medina,visual,4,neutral,36.8008,10.1658
Tunis Medina,olfactory,1,neutral,36.8008,10.1658
Tunis Medina,gustatory,1,neutral,36.8008,10.1658
Tunis Medina,tactile,2,neutral,36.8008,10.1658
Djerba,visual,2,neutral,33.8,10.9
Djerba,auditory,3,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Tozeur,olfactory,1,positive,33.9197,8.1339
Tozeur,gustatory,2,positive,33.9197,8.1339
Sidi Bou Said,gustatory,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Tozeur,visual,1,neutral,33.9197,8.1339
Tozeur,auditory,1,neutral,33.9197,8.1339
Tozeur,olfactory,1,neutral,33.9197,8.1339
Tozeur,gustatory,4,neutral,33.9197,8.1339
Tozeur,visual,2,neutral,33.9197,8.1339
Tozeur,auditory,1,neutral,33.9197,8.1339
Tozeur,tactile,3,neutral,33.9197,8.1339
Djerba,auditory,1,neutral,33.8,10.9
Djerba,gustatory,1,neutral,33.8,10.9
Djerba,visual,1,neutral,33.8,10.9
Djerba,visual,1,neutral,33.8,10.9
Tunis Medina,visual,1,neutral,36.8008,10.1658
Tunis Medina,gustatory,1,neutral,36.8008,10.1658
Tunis Medina,tactile,1,neutral,36.8008,10.1658
Djerba,olfactory,1,neutral,33.8,10.9
Djerba,visual,2,positive,33.8,10.9
Djerba,gustatory,1,positive,33.8,10.9
Tozeur,visual,1,positive,33.9197,8.1339
Hammamet,visual,2,positive,36.4,10.6
Hammamet,auditory,1,positive,36.4,10.6
Hammamet,tactile,3,positive,36.4,10.6
Tunis Medina,auditory,1,positive,36.8008,10.1658
Tunis Medina,olfactory,2,positive,36.8008,10.1658
Tunis Medina,tactile,3,positive,36.8008,10.1658
Sidi Bou Said,auditory,5,neutral,36.8686,10.3417
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,olfactory,1,neutral,36.8686,10.3417
Sidi Bou Said,gustatory,3,neutral,36.8686,10.3417
Sidi Bou Said,tactile,2,neutral,36.8686,10.3417
Djerba,visual,1,positive,33.8,10.9
Djerba,auditory,2,positive,33.8,10.9
Tunis Medina,visual,2,positive,36.8008,10.1658
Tunis Medina,auditory,1,positive,36.8008,10.1658
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,auditory,1,neutral,36.8686,10.3417
Tozeur,gustatory,1,neutral,33.9197,8.1339
Tozeur,tactile,1,neutral,33.9197,8.1339
Hammamet,auditory,1,neutral,36.4,10.6
Sidi Bou Said,visual,2,positive,36.8686,10.3417
Sidi Bou Said,auditory,4,positive,36.8686,10.3417
Sidi Bou Said,gustatory,1,positive,36.8686,10.3417
Sidi Bou Said,tactile,1,positive,36.8686,10.3417
Hammamet,visual,1,positive,36.4,10.6
Hammamet,gustatory,2,positive,36.4,10.6
Hammamet,tactile,1,positive,36.4,10.6
Djerba,visual,1,neutral,33.8,10.9
Djerba,gustatory,1,neutral,33.8,10.9
Djerba,tactile,3,neutral,33.8,10.9
Tunis Medina,visual,2,positive,36.8008,10.1658
Tunis Medina,tactile,1,positive,36.8008,10.1658
Sidi Bou Said,visual,2,neutral,36.8686,10.3417
Sidi Bou Said,auditory,1,neutral,36.8686,10.3417
Sidi Bou Said,olfactory,1,neutral,36.8686,10.3417
Sidi Bou Said,gustatory,2,neutral,36.8686,10.3417
Tunis Medina,tactile,2,neutral,36.8008,10.1658
Tozeur,visual,1,positive,33.9197,8.1339
Tozeur,tactile,1,positive,33.9197,8.1339
Djerba,auditory,1,positive,33.8,10.9
Tunis Medina,gustatory,1,neutral,36.8008,10.1658
Tunis Medina,tactile,1,neutral,36.8008,10.1658
Hammamet,visual,1,neutral,36.4,10.6
Hammamet,auditory,1,neutral,36.4,10.6
Hammamet,visual,1,neutral,36.4,10.6
Hammamet,auditory,1,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Sidi Bou Said,visual,1,positive,36.8686,10.3417
Sidi Bou Said,olfactory,1,positive,36.8686,10.3417
Sidi Bou Said,gustatory,2,positive,36.8686,10.3417
Sidi Bou Said,tactile,2,positive,36.8686,10.3417
Tozeur,gustatory,1,neutral,33.9197,8.1339
Djerba,visual,3,neutral,33.8,10.9
Hammamet,visual,1,neutral,36.4,10.6
Hammamet,auditory,1,neutral,36.4,10.6
Hammamet,olfactory,1,neutral,36.4,10.6
Hammamet,tactile,2,neutral,36.4,10.6
Djerba,visual,1,neutral,33.8,10.9
Djerba,olfactory,1,neutral,33.8,10.9
Tunis Medina,olfactory,1,neutral,36.8008,10.1658
Djerba,visual,2,neutral,33.8,10.9
Tunis Medina,visual,2,positive,36.8008,10.1658
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,gustatory,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Tunis Medina,visual,2,neutral,36.8008,10.1658
Tunis Medina,olfactory,2,neutral,36.8008,10.1658
Tunis Medina,gustatory,1,neutral,36.8008,10.1658
Tunis Medina,tactile,3,neutral,36.8008,10.1658
Sidi Bou Said,visual,2,positive,36.8686,10.3417
Sidi Bou Said,auditory,1,positive,36.8686,10.3417
Sidi Bou Said,gustatory,1,positive,36.8686,10.3417
Sidi Bou Said,tactile,1,positive,36.8686,10.3417
Tozeur,visual,2,positive,33.9197,8.1339
Tozeur,auditory,3,positive,33.9197,8.1339
Tozeur,gustatory,1,positive,33.9197,8.1339
Tozeur,tactile,1,positive,33.9197,8.1339
Tunis Medina,visual,3,neutral,36.8008,10.1658
Tunis Medina,gustatory,1,neutral,36.8008,10.1658
Tunis Medina,tactile,1,neutral,36.8008,10.1658
Hammamet,visual,2,positive,36.4,10.6
Hammamet,auditory,3,positive,36.4,10.6
Hammamet,gustatory,2,positive,36.4,10.6
Hammamet,tactile,2,positive,36.4,10.6
Tozeur,tactile,1,neutral,33.9197,8.1339
Tunis Medina,visual,2,neutral,36.8008,10.1658
Tunis Medina,gustatory,1,neutral,36.8008,10.1658
Tunis Medina,tactile,1,neutral,36.8008,10.1658
Tozeur,olfactory,1,neutral,33.9197,8.1339
Tunis Medina,olfactory,2,neutral,36.8008,10.1658
Tunis Medina,gustatory,1,neutral,36.8008,10.1658
Tunis Medina,tactile,1,neutral,36.8008,10.1658
Tozeur,visual,1,neutral,33.9197,8.1339
Tozeur,olfactory,1,neutral,33.9197,8.1339
Djerba,tactile,2,positive,33.8,10.9
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,gustatory,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,2,neutral,36.8686,10.3417
Djerba,visual,1,neutral,33.8,10.9
Djerba,auditory,1,neutral,33.8,10.9
Djerba,gustatory,1,neutral,33.8,10.9
Djerba,auditory,1,neutral,33.8,10.9
Djerba,visual,1,neutral,33.8,10.9
Djerba,auditory,1,neutral,33.8,10.9
Djerba,tactile,3,neutral,33.8,10.9
Tozeur,visual,2,positive,33.9197,8.1339
Tozeur,tactile,1,positive,33.9197,8.1339
Tozeur,visual,1,positive,33.9197,8.1339
Tozeur,gustatory,1,positive,33.9197,8.1339
Tozeur,tactile,3,positive,33.9197,8.1339
Tozeur,gustatory,1,neutral,33.9197,8.1339
Tozeur,tactile,1,neutral,33.9197,8.1339
Hammamet,visual,5,neutral,36.4,10.6
Hammamet,auditory,2,neutral,36.4,10.6
Hammamet,gustatory,1,neutral,36.4,10.6
Hammamet,tactile,4,neutral,36.4,10.6
Sidi Bou Said,visual,3,neutral,36.8686,10.3417
Sidi Bou Said,auditory,1,neutral,36.8686,10.3417
Sidi Bou Said,tactile,2,neutral,36.8686,10.3417
Hammamet,gustatory,2,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Hammamet,visual,2,neutral,36.4,10.6
Hammamet,auditory,1,neutral,36.4,10.6
Hammamet,gustatory,2,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Sidi Bou Said,olfactory,1,neutral,36.8686,10.3417
Djerba,olfactory,1,neutral,33.8,10.9
Tunis Medina,visual,2,positive,36.8008,10.1658
Tunis Medina,auditory,2,positive,36.8008,10.1658
Tunis Medina,olfactory,1,positive,36.8008,10.1658
Tunis Medina,gustatory,2,positive,36.8008,10.1658
Tunis Medina,tactile,3,positive,36.8008,10.1658
Djerba,visual,2,neutral,33.8,10.9
Djerba,gustatory,1,neutral,33.8,10.9
Djerba,tactile,3,neutral,33.8,10.9
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,auditory,1,neutral,36.8686,10.3417
Sidi Bou Said,gustatory,1,neutral,36.8686,10.3417
Hammamet,visual,1,positive,36.4,10.6
Hammamet,olfactory,1,positive,36.4,10.6
Hammamet,tactile,1,positive,36.4,10.6
Djerba,auditory,2,positive,33.8,10.9
Djerba,visual,1,neutral,33.8,10.9
Djerba,auditory,3,neutral,33.8,10.9
Djerba,olfactory,1,neutral,33.8,10.9
Djerba,gustatory,2,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Djerba,visual,2,neutral,33.8,10.9
Djerba,auditory,6,neutral,33.8,10.9
Hammamet,olfactory,1,neutral,36.4,10.6
Tunis Medina,olfactory,1,neutral,36.8008,10.1658
Tunis Medina,gustatory,3,neutral,36.8008,10.1658
Tunis Medina,tactile,2,neutral,36.8008,10.1658
Djerba,visual,2,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Djerba,visual,1,neutral,33.8,10.9
Sidi Bou Said,gustatory,1,neutral,36.8686,10.3417
Tunis Medina,olfactory,1,neutral,36.8008,10.1658
Hammamet,gustatory,2,positive,36.4,10.6
Sidi Bou Said,gustatory,2,positive,36.8686,10.3417
Sidi Bou Said,visual,3,positive,36.8686,10.3417
Sidi Bou Said,auditory,3,positive,36.8686,10.3417
Sidi Bou Said,tactile,2,positive,36.8686,10.3417
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Tunis Medina,olfactory,2,positive,36.8008,10.1658
Tunis Medina,gustatory,7,positive,36.8008,10.1658
Tunis Medina,tactile,2,positive,36.8008,10.1658
Hammamet,olfactory,1,neutral,36.4,10.6
Djerba,visual,2,neutral,33.8,10.9
Djerba,olfactory,1,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Hammamet,olfactory,1,positive,36.4,10.6
Hammamet,gustatory,1,positive,36.4,10.6
Hammamet,tactile,1,positive,36.4,10.6
Djerba,auditory,1,neutral,33.8,10.9
Djerba,tactile,2,neutral,33.8,10.9
Sidi Bou Said,tactile,2,neutral,36.8686,10.3417
Djerba,auditory,2,neutral,33.8,10.9
Tozeur,visual,1,neutral,33.9197,8.1339
Tozeur,gustatory,1,neutral,33.9197,8.1339
Hammamet,visual,1,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Hammamet,visual,1,neutral,36.4,10.6
Hammamet,auditory,2,neutral,36.4,10.6
Hammamet,gustatory,1,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Hammamet,visual,1,positive,36.4,10.6
Hammamet,auditory,1,positive,36.4,10.6
Hammamet,olfactory,1,positive,36.4,10.6
Hammamet,tactile,2,positive,36.4,10.6
Djerba,visual,1,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Tozeur,visual,2,neutral,33.9197,8.1339
Tozeur,auditory,1,neutral,33.9197,8.1339
Tozeur,tactile,1,neutral,33.9197,8.1339
Sidi Bou Said,visual,3,neutral,36.8686,10.3417
Tozeur,tactile,1,neutral,33.9197,8.1339
Tunis Medina,gustatory,1,neutral,36.8008,10.1658
Tozeur,olfactory,1,neutral,33.9197,8.1339
Sidi Bou Said,olfactory,1,neutral,36.8686,10.3417
Djerba,visual,3,neutral,33.8,10.9
Djerba,auditory,1,neutral,33.8,10.9
Djerba,olfactory,1,neutral,33.8,10.9
Djerba,gustatory,6,neutral,33.8,10.9
Hammamet,auditory,2,positive,36.4,10.6
Hammamet,gustatory,1,positive,36.4,10.6
Hammamet,tactile,1,positive,36.4,10.6
Tunis Medina,visual,1,positive,36.8008,10.1658
Djerba,visual,3,positive,33.8,10.9
Djerba,gustatory,1,positive,33.8,10.9
Djerba,tactile,1,positive,33.8,10.9
Djerba,visual,1,neutral,33.8,10.9
Tozeur,visual,1,neutral,33.9197,8.1339
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Djerba,visual,3,neutral,33.8,10.9
Djerba,olfactory,1,neutral,33.8,10.9
Djerba,gustatory,3,neutral,33.8,10.9
Djerba,tactile,3,neutral,33.8,10.9
Tunis Medina,visual,1,positive,36.8008,10.1658
Djerba,visual,2,neutral,33.8,10.9
Djerba,tactile,3,neutral,33.8,10.9
Djerba,visual,1,neutral,33.8,10.9
Djerba,tactile,2,neutral,33.8,10.9
Tozeur,auditory,2,neutral,33.9197,8.1339
Tozeur,auditory,1,negative,33.9197,8.1339
Tozeur,tactile,1,negative,33.9197,8.1339
Tunis Medina,visual,1,neutral,36.8008,10.1658
Hammamet,visual,1,neutral,36.4,10.6
Hammamet,auditory,1,neutral,36.4,10.6
Hammamet,gustatory,4,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Hammamet,olfactory,1,neutral,36.4,10.6
Hammamet,gustatory,1,neutral,36.4,10.6
Hammamet,tactile,1,neutral,36.4,10.6
Djerba,visual,1,neutral,33.8,10.9
Djerba,tactile,1,neutral,33.8,10.9
Tunis Medina,visual,1,neutral,36.8008,10.1658
Tunis Medina,auditory,1,neutral,36.8008,10.1658
Tunis Medina,tactile,1,neutral,36.8008,10.1658
Tozeur,auditory,1,neutral,33.9197,8.1339
Hammamet,visual,1,neutral,36.4,10.6
Hammamet,gustatory,1,neutral,36.4,10.6
Hammamet,tactile,2,neutral,36.4,10.6
Tozeur,gustatory,1,neutral,33.9197,8.1339
Tozeur,tactile,1,neutral,33.9197,8.1339
Tunis Medina,gustatory,1,positive,36.8008,10.1658
Djerba,visual,1,positive,33.8,10.9
Djerba,gustatory,1,positive,33.8,10.9
Hammamet,gustatory,1,neutral,36.4,10.6
Djerba,auditory,1,positive,33.8,10.9
Tunis Medina,visual,1,neutral,36.8008,10.1658
Tunis Medina,auditory,2,neutral,36.8008,10.1658
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
Sidi Bou Said,olfactory,2,neutral,36.8686,10.3417
Sidi Bou Said,tactile,1,neutral,36.8686,10.3417
Tozeur,tactile,1,neutral,33.9197,8.1339
Tunis Medina,gustatory,1,positive,36.8008,10.1658
Tozeur,visual,1,positive,33.9197,8.1339
Tozeur,tactile,1,positive,33.9197,8.1339
Sidi Bou Said,visual,1,neutral,36.8686,10.3417
